id,title,date,thumbnail,views,likes,dislikes,comments
aDrVrz76z1A,Camping Stereotypes,2019-09-23T21:55,https://i.ytimg.com/vi/aDrVrz76z1A/default.jpg,26279999,527896,14581,29045
j7ZXF7jbXbY,Helicopter Battleship Battle | Dude Perfect,2019-09-09T21:56,https://i.ytimg.com/vi/j7ZXF7jbXbY/default.jpg,12260429,326462,10177,11539
j9I7jt4Y_-A,World's Weirdest Pillow | Overtime 11 | Dude Perfect,2019-08-26T22:00,https://i.ytimg.com/vi/j9I7jt4Y_-A/default.jpg,21944280,394090,13332,20467
Jvy7eXMxE9Y,Editor Edition 2 | Dude Perfect,2019-08-12T21:58,https://i.ytimg.com/vi/Jvy7eXMxE9Y/default.jpg,14111391,473971,19407,14286
2lrBphwQOrI,Bass Fishing Battle | Dude Perfect,2019-07-29T21:57,https://i.ytimg.com/vi/2lrBphwQOrI/default.jpg,27666263,504005,15352,17283
XMilHdBYZzA,RC Airplane Battle | Dude Perfect,2019-07-15T21:56,https://i.ytimg.com/vi/XMilHdBYZzA/default.jpg,31034852,644389,17876,23265
8qwjvDROE4E,World's Best Gaming Room | Overtime 10 | Dude Perfect,2019-07-01T21:57,https://i.ytimg.com/vi/8qwjvDROE4E/default.jpg,27293898,523214,16238,27936
q9bX7EkMvrA,Metal Detector Battle 2 | Dude Perfect,2019-06-17T21:59,https://i.ytimg.com/vi/q9bX7EkMvrA/default.jpg,35985611,587395,19585,25130
FjPvXMwTwQo,Plunger Trick Shots | Dude Perfect,2019-06-03T21:57,https://i.ytimg.com/vi/FjPvXMwTwQo/default.jpg,36117433,772259,29901,36176
FPg89qonG0E,Laying in a Box of Snakes | Overtime 9 | Dude Perfect,2019-05-20T21:56,https://i.ytimg.com/vi/FPg89qonG0E/default.jpg,25792799,418511,16349,28259
2t3GnbhbVCc,Ping Pong Trick Shots 5 | Dude Perfect,2019-05-06T21:55,https://i.ytimg.com/vi/2t3GnbhbVCc/default.jpg,46576049,1115952,23037,24848
dwV04XuiWq4,All Sports Baseball Battle | Dude Perfect,2019-04-22T21:58,https://i.ytimg.com/vi/dwV04XuiWq4/default.jpg,37629688,569453,17236,19935
_YTWwTo6xcY,Nerf Fortnite Blasters Battle | Dude Perfect,2019-04-08T21:56,https://i.ytimg.com/vi/_YTWwTo6xcY/default.jpg,31298334,567059,18953,23000
uUio9YoGhxo,Real Life Trick Shots Bloopers | Overtime 8 | Dude Perfect,2019-03-25T21:58,https://i.ytimg.com/vi/uUio9YoGhxo/default.jpg,34482998,509730,16799,33180
OxoOSohmaag,Airplane Trick Shots 2 | Dude Perfect,2019-03-11T21:58,https://i.ytimg.com/vi/OxoOSohmaag/default.jpg,46510502,984571,29121,32438
qlzVPauUgw8,Real Life Trick Shots 3 | Dude Perfect,2019-02-25T22:57,https://i.ytimg.com/vi/qlzVPauUgw8/default.jpg,81137395,1707234,28044,44170
rT9PI5q2Etc,Dude Shaves Eyebrows | Overtime 7 | Dude Perfect,2019-02-11T22:55,https://i.ytimg.com/vi/rT9PI5q2Etc/default.jpg,27133315,389596,15738,31505
VOzA2V4HbJA,Super Bowl Stadium Trick Shots | Dude Perfect,2019-01-28T22:58,https://i.ytimg.com/vi/VOzA2V4HbJA/default.jpg,19698942,459516,9603,19622
uPCi5Rs7EuA,Model Rocket Battle 2 | Dude Perfect,2019-01-14T22:58,https://i.ytimg.com/vi/uPCi5Rs7EuA/default.jpg,76274865,1170804,38294,40464
DXcuvtbotYQ,Dude Perfect Rewind 2018,2018-12-31T22:56,https://i.ytimg.com/vi/DXcuvtbotYQ/default.jpg,14324685,394611,7291,18363
7y-hKLfeurY,Skiing Stereotypes | Dude Perfect,2018-12-17T22:56,https://i.ytimg.com/vi/7y-hKLfeurY/default.jpg,36270978,554324,15160,32172
i25i6vyjIpg,World Record Exercise Ball Surfing | Overtime 6 | Dude Perfect,2018-12-03T22:54,https://i.ytimg.com/vi/i25i6vyjIpg/default.jpg,41380277,560103,23343,27945
rQWb_oYS1tg,Airsoft Battle Royale | Dude Perfect,2018-11-19T22:55,https://i.ytimg.com/vi/rQWb_oYS1tg/default.jpg,60913685,1175454,26164,55336
5LZ_G8jRGHg,Dunk Tank FIFA | Dude Perfect,2018-11-05T22:57,https://i.ytimg.com/vi/5LZ_G8jRGHg/default.jpg,27712531,420885,14183,20386
JHiLEkV8l_8,Grocery Store Stereotypes,2018-10-22T21:56,https://i.ytimg.com/vi/JHiLEkV8l_8/default.jpg,64182490,745661,27823,60371
-qATVnpaHTo,World's Strongest Laser | Overtime 5 | Dude Perfect,2018-10-08T21:55,https://i.ytimg.com/vi/-qATVnpaHTo/default.jpg,53379029,648102,28046,41039
4RkZAfD-HeM,Archery Trick Shots 2 | Dude Perfect,2018-09-24T21:55,https://i.ytimg.com/vi/4RkZAfD-HeM/default.jpg,23571562,512926,9912,31987
6bH9Qb_feRY,High Speed Sports Battle | Dude Perfect,2018-09-10T22:01,https://i.ytimg.com/vi/6bH9Qb_feRY/default.jpg,27618041,914453,19913,26351
wSB9JvsBT4M,Bowling Trick Shots 2 | Dude Perfect,2018-08-27T21:55,https://i.ytimg.com/vi/wSB9JvsBT4M/default.jpg,51429625,759630,18769,28297
muzeGsrYpnQ,Nerf Blasters Floating Island Battle | Dude Perfect,2018-08-13T21:53,https://i.ytimg.com/vi/muzeGsrYpnQ/default.jpg,54049761,784401,28784,35464
No8-mBek3rs,All Sports Golf Battle 3 | Dude Perfect,2018-08-06T21:57,https://i.ytimg.com/vi/No8-mBek3rs/default.jpg,50625943,572390,15579,29295
6re9XAwo4b4,Dirt Bike Battle | Dude Perfect,2018-07-30T21:55,https://i.ytimg.com/vi/6re9XAwo4b4/default.jpg,51555003,725574,21679,26275
RohJfM-VFS0,The Net Gun | Overtime 4 | Dude Perfect,2018-07-16T21:55,https://i.ytimg.com/vi/RohJfM-VFS0/default.jpg,54353305,587481,20308,53081
DkW87-Z9FAY,Ping Pong Trick Shots 4 | Dude Perfect,2018-07-02T21:57,https://i.ytimg.com/vi/DkW87-Z9FAY/default.jpg,133716600,3937194,81944,60348
QU1byle-nmA,Go Kart Soccer Battle | Dude Perfect,2018-06-18T21:56,https://i.ytimg.com/vi/QU1byle-nmA/default.jpg,32958721,508124,13309,41905
v-dfygYIfLs,Old School Trick Shots | Dude Perfect,2018-06-04T21:55,https://i.ytimg.com/vi/v-dfygYIfLs/default.jpg,46762030,807897,19116,52019
9m9oO84Q2fk,Giant Darts Battle | Dude Perfect,2018-05-21T21:55,https://i.ytimg.com/vi/9m9oO84Q2fk/default.jpg,50373757,681442,21381,34245
FepIkIILumA,Fortnite with Ninja | Overtime 3 | Dude Perfect,2018-05-07T21:55,https://i.ytimg.com/vi/FepIkIILumA/default.jpg,49422192,747441,31788,44258
Hk5dxn5dj2M,Deep Sea Fishing Battle | Dude Perfect,2018-04-23T21:57,https://i.ytimg.com/vi/Hk5dxn5dj2M/default.jpg,72302500,835894,38106,46103
hYirFqEc8Tg,Crossbow Trick Shots | Dude Perfect,2018-04-09T21:55,https://i.ytimg.com/vi/hYirFqEc8Tg/default.jpg,31642456,564074,13329,28971
S9KxqRUcnCU,Boomerang Trick Shots | Dude Perfect,2018-03-26T22:01,https://i.ytimg.com/vi/S9KxqRUcnCU/default.jpg,82108674,1851231,39343,45652
Wh1L0rOaa88,March Madness Stereotypes,2018-03-13T00:45,https://i.ytimg.com/vi/Wh1L0rOaa88/default.jpg,52534144,505198,17391,29341
MuPL-PSMX0Q,World's Longest LEGO Walk | Overtime 2 | Dude Perfect,2018-03-05T22:54,https://i.ytimg.com/vi/MuPL-PSMX0Q/default.jpg,49378403,709823,30843,50024
qZHycHI3F1Q,Football vs Soccer Trick Shots | Dude Perfect,2018-02-19T22:56,https://i.ytimg.com/vi/qZHycHI3F1Q/default.jpg,80181530,1308140,28581,97785
WpqUOW19aJQ,Model Rocket Battle | Dude Perfect,2018-02-05T22:58,https://i.ytimg.com/vi/WpqUOW19aJQ/default.jpg,68881830,949168,20022,60529
VRJmcxCrAOA,Real Life Trick Shots 2 | Dude Perfect,2018-01-22T22:55,https://i.ytimg.com/vi/VRJmcxCrAOA/default.jpg,249958376,3831442,110701,126406
g1QONg2b2JQ,Crush a Diamond with a Hammer? | Dude Perfect,2018-01-08T22:59,https://i.ytimg.com/vi/g1QONg2b2JQ/default.jpg,52600801,878091,25081,102954
9oyKePWRi8Y,Dude Perfect Rewind 2017,2017-12-26T22:55,https://i.ytimg.com/vi/9oyKePWRi8Y/default.jpg,18839097,479941,5815,20146
ycVc1jsaAA0,Christmas Stereotypes,2017-12-11T22:57,https://i.ytimg.com/vi/ycVc1jsaAA0/default.jpg,78468429,868371,24616,68383
-RmUADCWI4A,All Sports Golf Battle 2 | Dude Perfect,2017-12-04T22:57,https://i.ytimg.com/vi/-RmUADCWI4A/default.jpg,79723979,696678,23279,42836
VJwoSfTOhyM,Water Bottle Flip 2 | Dude Perfect,2017-11-20T23:00,https://i.ytimg.com/vi/VJwoSfTOhyM/default.jpg,276400626,2049313,102050,72911
cqylLiMzk54,Freeze Frame Football Battle | Dude Perfect,2017-11-07T22:55,https://i.ytimg.com/vi/cqylLiMzk54/default.jpg,85997897,960538,31793,31583
ygtvRzTLPNo,Baseball Trick Shots | Dude Perfect,2017-10-23T21:57,https://i.ytimg.com/vi/ygtvRzTLPNo/default.jpg,30941102,469207,9199,26169
sOCQipbEqNg,Glow In The Dark Trick Shots | Dude Perfect,2017-10-16T21:55,https://i.ytimg.com/vi/sOCQipbEqNg/default.jpg,25866010,514619,12803,26576
RdNqmKrRmbU,Build A Boat Battle | Dude Perfect,2017-10-09T21:53,https://i.ytimg.com/vi/RdNqmKrRmbU/default.jpg,66214884,785532,18288,65011
XM23h-eJ08A,Soccer Trick Shots 2 | Dude Perfect,2017-09-25T21:55,https://i.ytimg.com/vi/XM23h-eJ08A/default.jpg,37409850,623723,13689,58034
LcZ2AuvxXNA,Nerf Bow Trick Shots | Dude Perfect,2017-09-11T21:55,https://i.ytimg.com/vi/LcZ2AuvxXNA/default.jpg,58585192,829455,26596,29127
8IQbF0IK-f4,Airplane Trick Shots | Dude Perfect,2017-08-28T21:56,https://i.ytimg.com/vi/8IQbF0IK-f4/default.jpg,169539571,4336728,94161,75064
gA8Gru79DcE,Blitzball Trick Shots 3 | Dude Perfect,2017-08-14T21:52,https://i.ytimg.com/vi/gA8Gru79DcE/default.jpg,61951684,836470,20529,38695
6uhN97Cpz6I,Nerf Slip and Slide Battle | Dude Perfect,2017-07-31T21:55,https://i.ytimg.com/vi/6uhN97Cpz6I/default.jpg,44930977,1231406,15563,26335
TvNTcB6c-V8,Card Throwing Trick Shots | Dude Perfect,2017-07-17T21:55,https://i.ytimg.com/vi/TvNTcB6c-V8/default.jpg,137741704,2557338,55422,67868
ggR_SPwP6cw,Beach Stereotypes | Dude Perfect,2017-07-03T21:53,https://i.ytimg.com/vi/ggR_SPwP6cw/default.jpg,148112705,1384627,57942,56213
3J6o7hcm8bE,Fidget Spinner Trick Shots | Dude Perfect,2017-06-19T22:00,https://i.ytimg.com/vi/3J6o7hcm8bE/default.jpg,143990165,1886914,92453,90590
tsEoLVBk_Ts,Drew Brees Edition | Dude Perfect,2017-06-05T21:56,https://i.ytimg.com/vi/tsEoLVBk_Ts/default.jpg,25252188,442352,7923,40258
A2FsgKoGD04,Real Life Trick Shots | Dude Perfect,2017-05-25T21:58,https://i.ytimg.com/vi/A2FsgKoGD04/default.jpg,192743425,2557381,61403,90345
5_d-ON4ktkc,Giant Basketball Trick Shots | Dude Perfect,2017-05-15T21:55,https://i.ytimg.com/vi/5_d-ON4ktkc/default.jpg,27708619,465846,9922,38935
HKuCPqUpp4s,Stunt Driving Battle | Dude Perfect,2017-05-01T21:55,https://i.ytimg.com/vi/HKuCPqUpp4s/default.jpg,52739737,1584163,20643,36851
th2T6rygqNU,Giant Sumo Battle | Dude Perfect,2017-04-17T22:16,https://i.ytimg.com/vi/th2T6rygqNU/default.jpg,76104309,1551089,25522,114439
UeG1ftTmLAg,Ping Pong Trick Shots 3 | Dude Perfect,2017-04-03T21:57,https://i.ytimg.com/vi/UeG1ftTmLAg/default.jpg,259861150,5666184,150664,631028
nhL3vSVlvFo,Dude Perfect vs. Power Rangers,2017-03-20T21:55,https://i.ytimg.com/vi/nhL3vSVlvFo/default.jpg,39822737,431572,10863,19457
evXDnRpgolc,Virtual Reality Battle | Dude Perfect,2017-03-06T22:54,https://i.ytimg.com/vi/evXDnRpgolc/default.jpg,40433965,426811,11099,16909
ofyyJWHnEPM,Pool Trick Shots 2 |  Dude Perfect,2017-02-20T22:57,https://i.ytimg.com/vi/ofyyJWHnEPM/default.jpg,69598809,961618,20339,51375
SOk-KVq-O1I,World Record Edition 2 | Dude Perfect,2017-02-06T23:02,https://i.ytimg.com/vi/SOk-KVq-O1I/default.jpg,35145183,475684,9758,28323
QWV3cEI-zoE,Epic Trick Shot Battle 3 | Dude Perfect,2017-01-30T22:54,https://i.ytimg.com/vi/QWV3cEI-zoE/default.jpg,53348835,621843,12337,23703
kxgB2-ZpZeY,Dude Perfect Rewind 2016,2017-01-02T22:55,https://i.ytimg.com/vi/kxgB2-ZpZeY/default.jpg,11845952,287628,2949,20261
xPxbrHMHgNE,Editor Edition | Dude Perfect,2016-12-19T23:05,https://i.ytimg.com/vi/xPxbrHMHgNE/default.jpg,26683655,623418,11016,22628
YwabP6B_UkE,Extreme Weather Golf Battle | Dude Perfect,2016-12-05T23:01,https://i.ytimg.com/vi/YwabP6B_UkE/default.jpg,36392053,352652,9459,30118
8YydogFXCPM,Flip Edition | Dude Perfect,2016-11-21T22:57,https://i.ytimg.com/vi/8YydogFXCPM/default.jpg,149253994,1729530,50856,92555
LAbXD3sx3fc,Drone Hunting Battle | Dude Perfect,2016-11-07T22:55,https://i.ytimg.com/vi/LAbXD3sx3fc/default.jpg,61008767,594787,17974,33221
779akDPBNYc,DPHQ2 Trick Shots | Dude Perfect,2016-10-31T20:35,https://i.ytimg.com/vi/779akDPBNYc/default.jpg,49591146,634008,10269,164066
rdfC6XwXTW0,Giant Warship Battle | Dude Perfect,2016-10-17T22:03,https://i.ytimg.com/vi/rdfC6XwXTW0/default.jpg,90931774,789497,22624,33446
09Z9tbJLkCE,Metal Detector Battle | Dude Perfect,2016-10-10T22:22,https://i.ytimg.com/vi/09Z9tbJLkCE/default.jpg,55452343,501752,13464,24614
gpe4kNlRcmE,Trampoline Charades Battle | Dude Perfect,2016-09-26T21:55,https://i.ytimg.com/vi/gpe4kNlRcmE/default.jpg,33292908,330913,10334,34884
4o1PTcoZbKQ,Giant Nerf Trick Shots | Dude Perfect,2016-09-12T21:56,https://i.ytimg.com/vi/4o1PTcoZbKQ/default.jpg,69226539,760130,24561,169262
dFLj3DeKT-E,Shotgun Trick Shots | Dude Perfect,2016-08-29T21:56,https://i.ytimg.com/vi/dFLj3DeKT-E/default.jpg,42189216,685687,14851,42977
CAUO3YGvqnU,Endless Ducker Battle | Dude Perfect,2016-08-15T20:59,https://i.ytimg.com/vi/CAUO3YGvqnU/default.jpg,28354394,234643,7776,35966
jC9l0_NClrY,DP vs NFL Battle | Dude Perfect,2016-08-01T21:56,https://i.ytimg.com/vi/jC9l0_NClrY/default.jpg,33245196,290852,7999,13271
P8V_bx0L4RY,Water Bottle Flip Edition | Dude Perfect,2016-07-18T21:56,https://i.ytimg.com/vi/P8V_bx0L4RY/default.jpg,111076731,1561670,42274,103747
Gq59egL20dg,Blitzball Trick Shots 2 | Dude Perfect,2016-07-04T20:56,https://i.ytimg.com/vi/Gq59egL20dg/default.jpg,36231455,374070,7220,19583
xmEI_HZS64U,Drone Racing Battle | Dude Perfect,2016-06-06T21:59,https://i.ytimg.com/vi/xmEI_HZS64U/default.jpg,21717293,239054,4598,23867
dzA8_7X9uLQ,Tennis Trick Shots ft. Serena Williams | Dude Perfect,2016-05-23T21:59,https://i.ytimg.com/vi/dzA8_7X9uLQ/default.jpg,32425102,438480,11036,85070
gm2_6DX_0Bw,World Record Edition | Dude Perfect,2016-05-16T21:58,https://i.ytimg.com/vi/gm2_6DX_0Bw/default.jpg,112235794,1669425,42442,84085
t3P1p6vF_CY,Lawnmower Racing Battle | Dude Perfect,2016-05-02T22:00,https://i.ytimg.com/vi/t3P1p6vF_CY/default.jpg,33901955,293170,7355,26013
t8I_GRa_h-o,Giant Pictionary Battle | Dude Perfect,2016-04-18T21:59,https://i.ytimg.com/vi/t8I_GRa_h-o/default.jpg,42234296,333453,9753,134054
nZbFkgGtdhw,Golf Trick Shots | Dude Perfect,2016-04-04T21:55,https://i.ytimg.com/vi/nZbFkgGtdhw/default.jpg,24521977,237820,4584,14857
UnTPrYdGdkg,Softball Stereotypes,2016-03-21T22:26,https://i.ytimg.com/vi/UnTPrYdGdkg/default.jpg,64269509,461248,11116,37897
oKbUSJr1A64,Giant Nerf Edition | Dude Perfect,2016-03-07T22:54,https://i.ytimg.com/vi/oKbUSJr1A64/default.jpg,71851356,651695,21889,34747
IJq4vWADtfs,Bass Pro Edition | Dude Perfect,2016-02-22T22:56,https://i.ytimg.com/vi/IJq4vWADtfs/default.jpg,33165129,299895,5934,21731
QuncAUHpl-8,Giant Basketball Arcade Battle | Dude Perfect,2016-02-08T23:00,https://i.ytimg.com/vi/QuncAUHpl-8/default.jpg,79375390,561996,18546,36986
cZ85wy9fZO0,Mountain Top Snow Battle | Dude Perfect,2016-02-01T23:00,https://i.ytimg.com/vi/cZ85wy9fZO0/default.jpg,30559669,296894,5132,30950
L4aBqvbP_MM,Soccer Trick Shots | Dude Perfect,2016-01-18T20:55,https://i.ytimg.com/vi/L4aBqvbP_MM/default.jpg,84523885,798504,24402,41460
XTDR_4VXbBI,Make-A-Wish Edition | Dude Perfect,2016-01-04T22:57,https://i.ytimg.com/vi/XTDR_4VXbBI/default.jpg,28776677,521938,9014,42626
gfM0_ngx0zU,Chris Paul & Aaron Rodgers Edition | Dude Perfect,2015-12-22T00:32,https://i.ytimg.com/vi/gfM0_ngx0zU/default.jpg,23745751,236837,3739,14420
4QfyFqwan4o,Archery Kart Battle ft. Luke Bryan | Dude Perfect,2015-12-14T22:55,https://i.ytimg.com/vi/4QfyFqwan4o/default.jpg,32468275,275666,4889,17059
ym9E1YG3_QQ,RC Edition | Dude Perfect,2015-12-07T22:30,https://i.ytimg.com/vi/ym9E1YG3_QQ/default.jpg,118421339,985260,44247,27799
1BjgBoummtE,Snow Sports Battle | Dude Perfect,2015-11-23T22:55,https://i.ytimg.com/vi/1BjgBoummtE/default.jpg,32313835,250977,5400,17567
0HefV4XQFcc,Blitzball Trick Shots | Dude Perfect,2015-10-29T21:55,https://i.ytimg.com/vi/0HefV4XQFcc/default.jpg,26782656,214445,4817,11383
dlOPwVsI-O4,Bubble Gum Blowing Battle | Dude Perfect,2015-10-19T21:59,https://i.ytimg.com/vi/dlOPwVsI-O4/default.jpg,75819242,500805,16203,28041
M9gFRXw5-kI,Hunting Stereotypes,2015-10-05T21:57,https://i.ytimg.com/vi/M9gFRXw5-kI/default.jpg,78212670,520659,22483,24669
UpMLVDma-4Q,Slip and Slide Football Battle | Dude Perfect,2015-09-28T21:55,https://i.ytimg.com/vi/UpMLVDma-4Q/default.jpg,59047316,442391,12210,42505
KetL43-xE8o,Tailgating Trick Shots | Dude Perfect,2015-09-07T21:55,https://i.ytimg.com/vi/KetL43-xE8o/default.jpg,18598029,161660,2911,8250
jgnVsuKY3oM,Plastic Golf Club Battle | Dude Perfect,2015-08-24T21:56,https://i.ytimg.com/vi/jgnVsuKY3oM/default.jpg,69337497,388443,13817,22864
Vzv40VWL5ho,Driving Stereotypes ft. Dale Jr,2015-08-17T21:54,https://i.ytimg.com/vi/Vzv40VWL5ho/default.jpg,101360055,624871,20950,34713
DJFK43xpEZk,Nerf Blasters Battle | Dude Perfect,2015-08-10T21:59,https://i.ytimg.com/vi/DJFK43xpEZk/default.jpg,65831206,462135,12651,22574
ZTkHLduj_FU,Paintball Trick Shots | Dude Perfect,2015-07-27T21:55,https://i.ytimg.com/vi/ZTkHLduj_FU/default.jpg,22517227,203327,5122,9445
QOEEvvq808A,RC Battle | Dude Perfect,2015-07-20T21:55,https://i.ytimg.com/vi/QOEEvvq808A/default.jpg,61381674,445583,12328,13103
Cy0thWiV-eA,Dizzy Sports Battle 2 | Dude Perfect,2015-07-08T21:54,https://i.ytimg.com/vi/Cy0thWiV-eA/default.jpg,42007868,310651,6678,19838
FDEZalVUJRc,Lacrosse Trick Shots | Dude Perfect,2015-06-29T22:05,https://i.ytimg.com/vi/FDEZalVUJRc/default.jpg,28890395,224336,5603,13718
_lyAEL4Wqao,All Sports Golf Battle | Dude Perfect,2015-06-08T21:55,https://i.ytimg.com/vi/_lyAEL4Wqao/default.jpg,80957373,428855,13753,17813
Gql1yOgfcsk,iPhone Game Battle | Dude Perfect 2,2015-06-04T23:31,https://i.ytimg.com/vi/Gql1yOgfcsk/default.jpg,42380073,286293,9816,11666
ZKBz3iGP124,Exploding Action Figures | Dude Perfect,2015-05-25T21:55,https://i.ytimg.com/vi/ZKBz3iGP124/default.jpg,10115530,108956,7745,6098
ifuE2uIt0T4,Dizzy Sports Battle | Dude Perfect,2015-05-04T21:55,https://i.ytimg.com/vi/ifuE2uIt0T4/default.jpg,43793789,300411,7337,22273
A5340xbbQJU,Epic Trick Shot Edition | Dude Perfect,2015-04-20T22:00,https://i.ytimg.com/vi/A5340xbbQJU/default.jpg,19048640,178265,3333,10046
TziuG5LtEWY,XPOGO Edition | Dude Perfect,2015-04-06T22:00,https://i.ytimg.com/vi/TziuG5LtEWY/default.jpg,53035236,441450,10017,14159
_GgfLZFj6kM,Backwards Edition | Dude Perfect,2015-03-23T22:03,https://i.ytimg.com/vi/_GgfLZFj6kM/default.jpg,76508963,697580,16936,27962
bMvoNCg6vSY,Shark Fishing Battle | Dude Perfect,2015-03-16T21:55,https://i.ytimg.com/vi/bMvoNCg6vSY/default.jpg,67870583,494635,34094,33975
MVuOwzFGaj8,Long Drive Trick Shots | Dude Perfect,2015-03-02T22:55,https://i.ytimg.com/vi/MVuOwzFGaj8/default.jpg,31410503,207419,5548,9598
UtsfUAHkyWQ,Ping Pong Trick Shots 2 | Dude Perfect,2015-02-16T23:00,https://i.ytimg.com/vi/UtsfUAHkyWQ/default.jpg,199364882,1990927,64914,72067
EvCCwnLGtLY,Odell Beckham Jr. Edition | Dude Perfect,2015-02-02T22:06,https://i.ytimg.com/vi/EvCCwnLGtLY/default.jpg,31391945,248847,3258,31449
LoaEy7CCC1E,Bubble Wrap Battle | Dude Perfect,2015-01-26T22:55,https://i.ytimg.com/vi/LoaEy7CCC1E/default.jpg,92315553,758939,18229,27691
0iLUynhPMOE,Dad Edition | Dude Perfect,2015-01-22T22:55,https://i.ytimg.com/vi/0iLUynhPMOE/default.jpg,45301878,395318,6972,58882
jLk-s2t9Z9Q,Super Bowl Party Stereotypes,2015-01-19T22:55,https://i.ytimg.com/vi/jLk-s2t9Z9Q/default.jpg,61457295,394421,8812,21554
IlQnGkfskrQ,Pool Trick Shots | Dude Perfect,2014-12-22T23:01,https://i.ytimg.com/vi/IlQnGkfskrQ/default.jpg,75215734,573871,12386,48737
WwpD-daFx8U,Seattle Seahawks Edition ft. Russell Wilson | Dude Perfect,2014-11-24T22:54,https://i.ytimg.com/vi/WwpD-daFx8U/default.jpg,24983158,184522,4100,22018
eCtb_ylVDvU,Archery Trick Shots | Dude Perfect,2014-11-10T22:55,https://i.ytimg.com/vi/eCtb_ylVDvU/default.jpg,52515178,513814,13223,55834
geK1ZWHG0Pg,Glow In The Dark Edition | Dude Perfect,2014-10-27T21:48,https://i.ytimg.com/vi/geK1ZWHG0Pg/default.jpg,24146210,248757,4247,14439
efPGsYK6ayI,Dallas Stars Edition | Dude Perfect,2014-10-13T21:54,https://i.ytimg.com/vi/efPGsYK6ayI/default.jpg,17606988,124326,2173,7048
PfuzjAXfeio,Exploding Basketball Pyramid | Dude Perfect,2014-09-29T21:55,https://i.ytimg.com/vi/PfuzjAXfeio/default.jpg,12001646,82572,3674,10792
k9OGeF5i54E,Nerf Blasters: Lake House Edition | Dude Perfect,2014-09-15T21:54,https://i.ytimg.com/vi/k9OGeF5i54E/default.jpg,29211795,186942,3907,14770
